"key","value"
"STATUS","OK_OFFICIAL_DAILY_WITH_FACTOR_WEIGHT_RESEARCH_READY"
"TOTAL_SECONDS","37.207"
"FAIL_COUNT","0"
"SKIP_OFFICIAL_DAILY","True"
"USE_YFINANCE","True"
"OFFICIAL_STATUS","OK_OFFICIAL_DAILY_WITH_SIM_VALIDATION_READY"
"FINAL_ACTION","BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION"
"BUY_PERMISSION","UNKNOWN"
"VIX_REGIME","VIX_CAUTION"
"RESEARCH_STATUS","OK_FACTOR_WEIGHT_RESEARCH_DAILY_CHAIN_READY"
"RESEARCH_PERMISSION","HOLD_NO_WEIGHT_ACTION"
"READY_HORIZON_COUNT","0"
"WEIGHT_CANDIDATE_COUNT","7"
