category,source_file,exists,parse_status,row_count,source_status,used_for,metric,value,note
source,outputs/v18/ranking/V18_CURRENT_RANKED_CANDIDATE_SCORE_EXPLANATION.csv,YES,OK,20,OK,TOP_CANDIDATES,,,
source,outputs/v18/universe/V18_CURRENT_PROMOTION_DEMOTION_AUDIT.csv,YES,OK,318,OK,UNIVERSE_CHANGES,,,
source,outputs/v18/ops/V18_CURRENT_ROLLING_UNIVERSE_SCAN_READ_FIRST.txt,YES,OK_READ_FIRST,0,OK_FRESH_DAILY_SCAN_SOURCE,COVERAGE_STATUS,,,
source,outputs/v18/data/V18_CURRENT_SCAN_SCOPED_PRICE_UPDATE_AUDIT.csv,YES,OK,318,OK,DATA_FRESHNESS,,,
source,outputs/v18/risk/V18_CURRENT_SCAN_SCOPED_EVENT_UPDATE_AUDIT.csv,YES,OK,318,OK,DATA_FRESHNESS,,,
source,outputs/v18/risk/V18_CURRENT_SCAN_SCOPED_EVENT_UPDATE_AUDIT.csv,YES,OK,318,OK,DATA_FRESHNESS,event_source_role,primary,Visible fallback/origin marker for event audit.
summary,,,,,,,STATUS,WARN_V18_19A_DAILY_READABILITY_READY,
summary,,,,,,,DAILY_TRUST_LEVEL,MEDIUM,
summary,,,,,,,TODAY_ACTION,Read-only daily refresh; coverage is acceptable but other warnings remain.,
summary,,,,,,,MAIN_REASON,Current authoritative full-refresh chain is clean; true 5-day coverage remains nonblocking. True 5-day unique universe coverage remains unresolved; trust level is capped below HIGH.,
summary,,,,,,,AUTO_TRADE,DISABLED,
summary,,,,,,,AUTO_SELL,DISABLED,
summary,,,,,,,OFFICIAL_DECISION_IMPACT,NONE,
summary,,,,,,,VALIDATION_FAIL_COUNT,0,
summary,,,,,,,COVERAGE_TARGET_MET,TRUE,
summary,,,,,,,DAILY_THRESHOLD_COVERAGE_SOURCE,outputs/v18/ops/V18_CURRENT_ROLLING_UNIVERSE_SCAN_READ_FIRST.txt,
summary,,,,,,,DAILY_THRESHOLD_COVERAGE_SOURCE_STATUS,OK_FRESH_DAILY_SCAN_SOURCE,
summary,,,,,,,DAILY_THRESHOLD_COVERAGE_SOURCE_MODIFIED_TIME,2026-05-27T22:48:39,
summary,,,,,,,DAILY_THRESHOLD_COVERAGE_SOURCE_SELECTION_REASON,Valid current-run read-first daily threshold evidence.,
summary,,,,,,,DAILY_THRESHOLD_TARGET_MET,TRUE,
summary,,,,,,,DAILY_THRESHOLD_SHORTFALL_COUNT,0,
summary,,,,,,,TRUE_5DAY_UNIQUE_COVERAGE_MET,FALSE,
summary,,,,,,,TRUE_5DAY_UNIQUE_WARNING_PRESERVED,TRUE,
summary,,,,,,,TODAY_ROLLING_SCAN_COUNT,318,
summary,,,,,,,DAILY_MIN_SCAN_COUNT,67,
summary,,,,,,,COVERAGE_SHORTFALL_COUNT,0,
summary,,,,,,,RANK_SOURCE_STATUS,OK_SCORE_SOURCE_FOUND,
summary,,,,,,,PRICE_PREFLIGHT,PASS,
summary,,,,,,,PRICE_MODE,LOCAL_CACHE_ONLY_SAFE_MODE,
summary,,,,,,,COMMAND_CENTER_SOURCE,outputs/v18/read_center/V18_CURRENT_READ_FIRST.txt,
summary,,,,,,,COMMAND_CENTER_SOURCE_STATUS,OK,
summary,,,,,,,CURRENT_MODE_SOURCE,outputs/v18/read_center/V18_CURRENT_READ_FIRST.txt,
summary,,,,,,,CURRENT_MODE_SOURCE_STATUS,OK,
summary,,,,,,,SOURCE_WARNINGS,True 5-day unique universe coverage remains unresolved; trust level is capped below HIGH.,
